Date,Open,High,Low,Close,Volume
2016-11-23,111.35369,111.51019,110.31738,111.23525,24716260
2016-11-25,111.1422,111.87395,110.95185,111.79358,11066019
2016-11-28,111.42559,112.46612,111.38752,111.56941,25104287
2016-11-29,110.78266,112.04314,110.05091,111.4552,27669859
2016-11-30,111.60324,112.19965,110.25394,110.51619,32957486
2016-12-01,110.35968,110.93917,109.01884,109.49257,34882306
2016-12-02,109.16265,110.07629,108.84541,109.88172,23860114
2016-12-05,109.99169,110.0213,108.25324,109.10343,32298105
2016-12-06,109.50103,110.34699,109.18803,109.9367,25188351
2016-12-07,109.25993,111.19295,109.15419,111.03645,29310542
2016-12-08,110.85457,112.42382,110.60078,112.12774,25883481
2016-12-09,112.30962,114.68677,112.30962,113.95501,33362669
2016-12-12,113.29939,114.97439,112.48727,113.31208,25917479
2016-12-13,113.84504,115.9261,113.76467,115.17742,41935053
2016-12-14,115.01669,116.20949,114.95324,115.17742,32359750
2016-12-15,115.37622,116.75514,115.21972,115.82035,43394442
2016-12-16,116.48443,116.51404,115.65116,115.98109,38704081
2016-12-19,115.7992,117.36,115.75691,116.66208,26303122
2016-12-20,116.75514,117.46997,116.70438,116.95817,18881226
2016-12-21,116.81013,117.38115,116.78898,117.06391,21640987
2016-12-22,116.366,116.52673,115.6427,116.30255,25161555
2016-12-23,115.58771,116.53519,115.58771,116.53519,13776866
2016-12-27,116.53519,117.79144,116.50135,117.25425,17505183
2016-12-28,117.49535,118.01985,116.20949,116.76783,19308872
2016-12-29,116.45905,117.1189,116.4083,116.75514,14751068
2016-12-30,116.67054,117.19081,115.43121,115.82035,30586266
2017-01-03,115.7992,116.34485,114.72906,116.15874,27740161
2017-01-04,115.85419,116.52673,115.75691,116.03184,20520517
2017-01-05,115.9261,116.86511,115.81189,116.62824,21695828
2017-01-06,116.78898,118.17212,116.48443,117.90564,30922255
2017-01-09,117.94794,119.44529,117.93525,118.98847,31636855
2017-01-10,118.76852,119.39453,118.30747,119.11537,21185414
2017-01-11,118.73468,119.91903,118.60356,119.74984,26446481
2017-01-12,118.88696,119.30994,118.21442,119.26764,26670281
2017-01-13,119.11537,119.62294,118.81082,119.04346,25396040
2017-01-17,118.34977,120.2278,118.22288,119.99516,31924516
2017-01-18,119.99516,120.49005,119.70754,119.9867,22577164
2017-01-19,119.41145,120.08822,119.38184,119.78367,23842991
2017-01-20,120.43506,120.43506,119.74138,119.99516,28414650
2017-01-23,119.99516,120.81575,119.77522,120.08822,19461034
2017-01-24,119.55104,120.10091,119.50874,119.96133,22592414
2017-01-25,120.40546,122.1016,120.2701,121.88165,31671923
2017-01-26,121.65748,122.43999,121.60249,121.94087,25355957
2017-01-27,122.1439,122.35539,121.60249,121.95356,20119033
2017-01-30,120.92995,121.61518,120.65924,121.61518,29742940
2017-01-31,121.15413,121.391,120.61694,121.36139,39910197
2017-02-01,127.02509,130.49353,126.99971,128.74239,110262832
2017-02-02,127.97257,129.38532,127.77376,128.54359,32126303
2017-02-03,128.31095,129.18229,128.1756,129.06385,24507305
2017-02-06,129.11884,130.50198,128.89466,130.31587,26115180
2017-02-07,130.54428,132.07124,130.45969,131.51291,36236509
2017-02-08,131.3564,132.21082,131.21682,132.01625,21462723
2017-02-09,131.64009,132.45712,131.07995,132.44028,24034817
2017-02-10,132.48239,132.94988,132.06124,132.13284,19321186
2017-02-13,133.08464,133.80061,132.76457,133.30786,22113413
2017-02-14,133.47632,135.09355,133.26574,135.01774,31059717
2017-02-15,135.53155,136.26857,134.62186,135.51891,33632217
2017-02-16,135.68738,135.88953,134.84086,135.36309,21537790
2017-02-17,135.10197,135.82636,135.10197,135.7337,21126543
2017-02-21,136.22645,136.76132,135.97376,136.70657,21932670
2017-02-22,136.43703,137.12772,136.10853,137.11509,17596728
2017-02-23,137.38041,137.46465,136.30226,136.5002,18607851
2017-02-24,135.90216,136.66866,135.29149,136.66866,21228413
2017-02-27,137.13615,137.42253,136.27699,136.92978,19137410
2017-02-28,137.08561,137.42253,136.70657,136.98874,21149590
2017-03-01,137.89422,140.15161,137.59099,139.80205,35000451
2017-03-02,139.99578,140.28638,138.74495,138.94711,25568126
2017-03-03,138.76601,139.83574,138.58491,139.79363,19980245
2017-03-06,139.35563,139.7852,138.58491,139.33457,18944352
